d1,d2,same_row,n,p1,p2,joint,indep,excess,phi,phi_lo,phi_hi,excess_lo,excess_hi,phi_p,bh_q
probe,probe_b,1,50,0.2800,0.4400,0.1800,0.1232,0.0568,0.2548,-0.0265,0.5163,-0.0048,0.1168,0.0776,0.2328
ppl_filter,probe,0,50,0.4400,0.2800,0.1600,0.1232,0.0368,0.1651,-0.1174,0.4388,-0.0256,0.0980,0.2618,0.5236
probe,token_anomaly,0,50,0.2800,0.0200,0.0000,0.0056,-0.0056,-0.0891,-0.1733,0.0000,-0.0192,0.0000,0.7202,0.7202
ppl_filter,token_anomaly,1,50,0.4400,0.0200,0.0200,0.0088,0.0112,0.1612,0.0000,0.3094,0.0000,0.0360,0.7202,0.7202
ppl_filter,probe_b,0,50,0.4400,0.4400,0.2800,0.1936,0.0864,0.3506,0.0801,0.6097,0.0200,0.1488,0.0148,0.0888
probe_b,token_anomaly,0,50,0.4400,0.0200,0.0200,0.0088,0.0112,0.1612,0.0000,0.3077,0.0000,0.0368,0.7202,0.7202
