d1,d2,crude_OR,CMH_OR,p,n_strata,min_stratum,q
ppl_filter,probe,17.4,2.829050279329609,0.2467532930040992,5,6,0.5618925130700064
ppl_filter,probe_b,21.0,3.071733821733822,0.2093413400830385,5,10,0.5618925130700064
ppl_filter,refusal_prime,15.725274725274724,3.9472595260445593,0.06277464354489026,5,10,0.3138732177244513
ppl_filter,smoothllm,16.71764705882353,3.3703703703703707,0.15992765036881362,5,10,0.5618925130700064
ppl_filter,token_anomaly,6.642857142857143,1.3925925925925926,0.9071525713359004,5,8,0.943496873587017
probe,probe_b,87.0,158.71896551724137,3.7962999221985427e-07,5,10,5.694449883297814e-06
probe,refusal_prime,7.666666666666667,0.7179732087121572,0.943496873587017,5,7,0.943496873587017
probe,smoothllm,10.4,1.255952380952381,0.9387977074546937,5,8,0.943496873587017
probe,token_anomaly,5.864864864864865,1.044374779229954,0.7660556984590927,5,8,0.943496873587017
probe_b,refusal_prime,7.508875739644971,0.875221238938053,0.8705415351073986,5,9,0.943496873587017
probe_b,smoothllm,8.25,0.9148148148148149,0.835270179135953,5,7,0.943496873587017
probe_b,token_anomaly,7.0,2.6099754701553555,0.26221650609933633,5,8,0.5618925130700064
refusal_prime,smoothllm,13.142857142857142,4.342136744271649,0.023060607767463548,5,10,0.1729545582559766
refusal_prime,token_anomaly,4.125,1.3450625885549012,0.7892088922704573,5,6,0.943496873587017
smoothllm,token_anomaly,4.75,1.7857205354799195,0.39536835215236554,5,5,0.7413156602856854
