d1,d2,crude_OR,CMH_OR,p,n_strata,min_stratum,q
ppl_filter,probe,52.5,10.103746724680882,0.0022126018285674176,5,8,0.011063009142837088
ppl_filter,probe_b,26.785714285714285,4.772881355932204,0.042537975782509285,5,9,0.15951740918440982
ppl_filter,refusal_prime,23.41269841269841,3.030983186322992,0.19238729865445925,5,11,0.5771618959633777
ppl_filter,smoothllm,12.037037037037036,0.9261083743842363,0.7793194814612528,5,7,0.9830654014660474
ppl_filter,token_anomaly,8.0990990990991,1.2284584980237154,0.8946966338431162,5,9,0.9830654014660474
probe,probe_b,62.142857142857146,11.76261698218025,4.006442572945801e-05,5,9,0.0006009663859418701
probe,refusal_prime,18.2,1.3098125689084896,0.9830654014660474,5,8,0.9830654014660474
probe,smoothllm,10.5,0.66786355475763,0.9534663644614889,5,8,0.9830654014660474
probe,token_anomaly,10.333333333333334,2.4068686868686866,0.4459422190691833,5,7,0.9555904694339643
probe_b,refusal_prime,15.2,1.1070338518178418,0.8046366386107858,5,9,0.9830654014660474
probe_b,smoothllm,10.11111111111111,1.0774296365461706,0.774634440751572,5,9,0.9830654014660474
probe_b,token_anomaly,8.61111111111111,1.6933593749999998,0.7255020846607056,5,8,0.9830654014660474
refusal_prime,smoothllm,42.12820512820513,10.811088754750728,9.21247066459907e-05,5,9,0.0006909352998449303
refusal_prime,token_anomaly,6.25,0.9683440073193045,0.7253834052463722,5,7,0.9830654014660474
smoothllm,token_anomaly,6.333333333333333,2.164022496432468,0.2407857903211531,5,7,0.6019644758028827
